,operator,operatorLabel,C1,C2,C3,C4,C5,C6,C7,H1,H2,H3,H4,H5,H6,H7,H8,einspeisetarif
473,CHE-113.850.072,"Politische Gemeinde Herdern Abwasser, Wasser- & Elektragen. Technische Werke",33.15,31.5,32.11,31.638,29.084,28.628,28.0568,42.15,38.1,34.9,34.9,33.3,31.62,32.284615384615385,33.3,16.5
474,CHE-113.525.790,"Politische Gemeinde Mammern, Elektrizität",23.9896875,23.06214,22.214666666666663,21.521733333333337,,,,28.00659226190476,25.796457142857143,23.48692063492064,24.11748253968254,22.71866095238095,21.23559828571429,22.358947252747253,23.26437619047619,7
475,CHE-100.616.845,"Einheitsgemeinde Müllheim, Elektrizitätsversorgung",35.8,35.03,33.606,33.2868,33.1868,32.8956,32.47672,40.0,38.11,36.61666666666667,36.61666666666667,35.87,35.086,35.396153846153844,35.87,20
476,CHE-115.084.242,Politische Gemeinde Pfyn,23.5,22.29,22.55,21.95,21.81,21.37,20.8052,30.1,27.13,24.78333333333333,24.78333333333333,23.61,22.378,22.865384615384617,23.61,10
477,CHE-108.961.435,"Gemeinde Salenstein, Stromversorgung",34.5,33.18,31.48,30.684,30.178,29.526,29.035066666666665,41.7,38.46,35.9,35.9,34.62,33.276,33.80769230769231,34.62,16
478,CHE-115.084.271,Politische Gemeinde Steckborn,25.623125,24.715,22.444666666666667,21.910733333333333,20.516666666666666,20.210444444444445,19.595288066666665,28.75407738095238,26.64142857142857,23.98746031746032,25.08984126984127,23.33619047619048,21.469857142857144,23.146373626373627,24.29023809523809,9.8
479,CHE-108.957.586,"Gemeinde Wagenhausen, Elektrizitätsversorgung",25.95,24.85,24.09,23.562,21.734,21.278,20.7068,31.95,29.25,27.116666666666667,27.116666666666667,26.05,24.93,25.373076923076923,26.05,9
480,CHE-108.965.692,"Gemeinde Amlikon-Bissegg, Stromversorgung",27.9140625,26.2225,24.516666666666666,23.758333333333333,21.632066666666667,21.098111111111116,20.392781646666663,36.22953869047619,32.135714285714286,28.40873015873016,28.95992063492064,26.88309523809524,24.68992857142857,26.02664835164835,27.360119047619047,10
481,CHE-108.957.617,"Politische Gemeinde Birwinken, Elektrizitätsversorgung",23.25,22.15,20.73,20.354,,,,29.25,26.55,24.416666666666668,24.416666666666668,23.35,22.23,22.673076923076923,23.35,9
482,CHE-108.965.309,"Politische Gemeinde Bussnang, Elektrizitätsversorgung",21.05,20.17,20.41,19.938,18.426,17.982,17.42856,25.85,23.69,21.98333333333333,21.98333333333333,21.13,20.234,20.588461538461537,21.13,7.5
483,CHE-112.546.559,"Politische Gemeinde Märstetten, Elektrizitätsversorgung",28.38625,27.2264,26.696666666666665,25.60333333333333,22.100066666666667,21.63411111111111,21.029421646666663,33.40053571428572,30.63742857142857,27.745238095238093,28.53895238095238,26.785657142857143,24.926697142857144,26.33760439560439,27.472571428571428,10
484,CHE-108.961.926,"Politische Gemeinde Wigoltingen, Elektrizitätswerk",32.2,30.88,30.96,30.488,29.888,29.296,28.6272,39.4,36.16,33.6,33.6,32.32,30.976,31.50769230769231,32.32,16
485,CHE-314.094.902,Elektrakorporation Wagerswil Wagerswil,23.8,22.48,19.26,18.188,,,,31.0,27.76,25.2,25.2,23.92,22.576,23.107692307692307,23.92,19.96
486,CHE-483.066.777,Azienda Multiservizi Bellinzona (AMB),26.6875,25.666,26.186666666666667,25.118,22.97,21.70133333333333,20.787738933333333,31.787142857142857,29.28514285714286,26.749523809523808,27.33619047619048,25.847428571428573,24.26022857142857,25.365494505494507,26.376571428571427,10.5
487,CHE-109.070.415,AZIENDA ELETTRICA DI MASSAGNO (AEM) SA,32.2895,30.9672,32.80766666666667,31.1862,,,,34.28,32.968,32.556222222222225,32.556222222222225,32.35026666666667,32.13412,32.21961538461539,32.35026666666667,11.5
488,CHE-496.470.952,Azienda energia comunale,24.09,23.386666666666667,23.18533333333333,22.7848,20.8648,19.800266666666666,,28.115,26.312,24.86844444444445,24.888,24.15413333333333,23.58432,22.877384615384617,24.177066666666665,5.81
